FEEDBACK,Supplier_name,RATING_1,DUN_BRADSTREET_RATING_1,REVIEWTEXT_1
Positive,24/7 Community Hospital Group,,,"I've been using D' Addario strings for 20+ years to great satisfaction.  These flex steels are excellent.  Bass tones, response and resonance are superior to my ear.  You can't go wrong with these guys.n I can  easily position for use with a generous 16 inch reach. Definitely cannot use this with a standard desk mic stand weighted base because of the tip risk, but a clamping mount works very well. The locking clutch is excellent, with a large nob and secure teeth. The smaller knob to control extending the boom is also more than sufficient. Just what I needed.d the ""mod"" reverb which was lush.Cons:- Sounded a little sterile compared to EH Holy Grail, but close and still good- I thought the number of different reverb settings was actually overkill and just there to look like it did a lot. To my ears, the rest were less distinctive.-Priced at $150, seemed a little high although I know there are other pedals that cost more.Overall a nice pedal, I can't really ding it for the cons above so I still gave it 5 stars. I had to compare a couple times to the EH holy grail to make my decision. In the end, the grail was cheaper, simpler and sounded more like a real reverb tank in my opinion."
Positive,A1 Juice Supply,,,"This is a very simple product, and, as others have stated, you could probably just 'DIY' one pretty easily....but for this price, why bother??? Under $10 and this thing is as good as ones that range from $20-50.  I don't think the material + the time it is going to take for you to make one (about 30 mins-an hour, more if you have to go out and buy all of the materials) is going to be worthwhile versus just ordering this bad boy online and...voila! It arrives two days later, no fuss no muss (assuming you have Prime, because, well, who doesn't these days? ;) )PLUS this will look good on camera.out four days.I have been using ON STAGE instrument and microphone stands for several years now. They are extremely well manufactured, they look great and are sturdy as heck. And I am extremely greatful to the compnay for the way they handled my issue.I have rarely been so satisfied with the way an issue was resolved and at the same extremely satisfied with the product as well.On Stage Stands 7701B Tripod Boom Microphone StandSquier by Fender Affinity Telecaster, Butterscotch BlondeShure SE115-CL Sound Isolating Earphones (Clear)Mini 3.5mm Flexible Microphone for PC/Laptop/Skype more difficult than the G-Dec but easy enough with hands-on experience. 2) - The chrome plastic knobs look somewhat cheap but work well enough. 3) - Line six really needs to update to an SDHC format so it can utilize larger than 2gb SD storage cards. I have experimented with using a 4GB non-HC SD card & though I was able to format it, I was not able to read / write to it. Line 6, please go to SDHC! I would also like to see an improvement to an ""incremented"" or notched amp model selector pot. As every once in a while it will jump from the A or B selection if not exact."
Positive,ABC Bank,2,Fair,"This cable seems top-notch to me.  Some complaints I heard had to do with this brand not lasting.  (Of course, those guys abuse their equipment.)  Maybe that will be something I'll encounter, but this cable appears to be very well made--and it works great.  I take very good care of my gear, so I expect this one to last.  Only gave it four out of five because I'd rate some other cables slightly higher.  This a great cable, the length is perfect for practice, and I'd buy another.s a good solid state amp overdrive. And nothing in the same universe as a good tube overdrive.No permanent preset. In other words, it'd be great to have a clean channel that you could double tap to from any other preset. No dice, so you have to program the same sound into multiple preset slots. That makes what seems like a lot (60 slots) get filled up pretty fast.In the end, it's definitely worth the $120 I spent on it. I recommend this if you're in the market for one."
Positive,ABC Consulting,2,Fair,"a ver nice and powerfull product for the mans health really reccomend this item if you are a truly music chosen onebility to turn wah on and off by depressing the volume pedal all the way forward.  Solid sounds and cabinets!wayy but is able to hold my precious guitar securely when put to use.  When I get another guitar, I will get another Fender stand to go with it."
Positive,Abbott,2,Fair,"Awe... it might have deserved 5 stars had it had a chance to prove itself. But I did buy another that I still have but it is still in it's original packaging as a back up for my other cords. Until i break it out and use it hard for 6 months I have nothing else to say here.od purchase.he preset effects to 0 and then hold down on the clean button about three seconds until the lights blink and now it's really clean. You can also do this with all the other channels too! just set every thing like you want it and hold down the button on the channel you want and there it is. and don't worry, you can always reset it back to factory settings and start over. It's a small amp but it's bigger than I thought it would be. But the sound that comes out of that 8&#34; speaker is BIG!. I have been playing for about 30 years, and I know I could use this amp in a small club without running it into the PA. If you do need a little more volume, it has a line out so you can run it to the PA and have all the volume you want. I would buy this amp again if mine was stolen. Makes a great practice room amp. You can take it without all your pedals and still have all the effects you would need. For the price it's a bargain!"
Positive,Adams Leasing,0,Limited,"Pay a couple bucks more and you get one from a brand like Audio Technica and you know it's going to withstand the test of time.  Mine is working fairly well but the attachments are loosening so who knows what's next.g by ear first or from another instrument like a piano or keyboard). This works well at a noisy jam and rarely gets confused. For my acoustic guitars it lets me easily tune to open G even if it's too noisy for me to hear it but it almost always stays in my mandolin case and gets used often for banjo as well. I've used it to tune my girlfriends autoharp and although the clip is stretched pretty wide it still does the job.Nobody really gets excited about tuners, but I've been playing a long time and nothing like this was around that I know of when I started out. If you wanted to tune and didn't have a 1/4"" input, good luck.use it, I end up turning my pegs manually and grimacing over the stiff action of the wire cutters while to align it on the string. I just recently ended up buying a set of Crescent Brand Miniature Cutters & Needle-Nose Pliers Set(the pliers are JUST the thing for pulling the strings and keeping tension while winding). When I have to redo my mothers acoustic guitar, I'll try the notch bridge peg puller. But other wise, this thing gets a serious two-star &#34;meh&#34;."
Positive,Advanced Corp,0,Limited,"Everyone develops personal preferences over time for one reason or another.  I have a personal preference for the XLR ends with the really fine threaded plastic cap on the outside (first to slide down the cable) with a 4 legged gripper underneath that slides next down the cable and pinches down as you tighten the plastic outer cap into the metal housing with the solder contacts causing the gripper to strain relief most cable diameters.  Unfortunately that design isn't used here, but I chose to award the 5 star rating for value because you get 15' of good quality shielded cable with 2 XLR ends (M and F) for well under $1/ft.As for pinout it's straightforward, pin 1 is tied to the metal grip and shield and connects between both ends, while pins 2 and 3 are run isolated between both ends.  The end design chosen uses the single set screw connector (the tiny one that gets lost so easy if you need to take it apart) and the rubber bumper design on the back which I haven't had the best of luck making quick changes in the field with, however for interconnecting equipment on a temporary basis these cables are an important starting point of any audio engineer's kit because they will be used not if but WHEN the need arises.Another favorite of mine is the 6 pack of 3 foot male to female cables which do use my favorite XLR ends mentioned above, which amazon will rush you:GLS Audio 3ft Patch Cable Cords - XLR Male To XLR Female Black Cables - 3' Balanced Snake Cord - 6 PACK- these are very easy to open an end, change phase, lift ground, or input someone's oddball source signal.  Having 6 on hand means you won't quibble over cable costs before the show starts and that channel will be in the final mix.Back to pyle's product here, I basically took away 1 star for not using the easy to open and re-wire XLRs but gave them a star for value in the product since it's 15 feet long and will reach between my mixer and most anything else inside the booth for under a buck a foot.  It's also great when someone yells ""it's too short I need a cable stretcher at the podium!"" and quickly adds 15 feet of noise free movement to a stage snake that either wasn't planned for or got moved/quit working.  For the price they have saved many installations from being torn up or rewired which means no surprises opening the next showing.I finally equipped my cable kit with the usual XLR to  RCA, 1/4 TRS, hi-z transformers, and the above mentioned 6 pack of 3 foot cables to quickly gain access to the XLR terminals if need be, plus 2 of these 15 foot cables mainly to solve distance problems, and a roll of gaffer's tape for good measure to prevent tripping hazards.  I used to have 2ea 50 foot XLR cables but no sooner than the box was opened one became a permanent addition to the stage snake so now I have one left for my kit. With all that I had to build an emergency XLR to 2.5mm TS all metal shielded connector for a mike input on short notice so a soldering kit with misc plugs got added to my cable bin.  Even though all this was under $100 it has saved the day more than once and made the show go on, so a bit of ""what if"" thinking and judicial purchases can make you look like the miracle mixer in the black painted room and justify your existance when the owner's daugher's toy musicbox becomes a channel in the house mix thanks to some quick cable magic.My last cable advice is never deconstruct something you custom made.  It will no doubt be needed again, and since you made it you'll know why, how, and where it was used before, thus you save time not recreating a past fix rather pulling it from your magic box of tricks and solving the problem.  People think you can hook anything up where others tried and failed furthering your staff position.  My only exception goes to cables that violate every standard and didn't serve to fix the problem like that phase reversed ground lifted XLR 4 pin stereo Y splitter to dual TRS female cable I made for the harmonica duet where the performers had nose rings and lip bars pierced and kept getting static with their mics when they held the"
Positive,Aesculup Inc,0,Limited,This is a great chord for anyone needing to not spend the money on a high quality chord... It's no PEAVEY but it works just as good...that the effect wears off quickly.  I use it in combination with Motrya Gold.change the sound. I am a beginner so you gotta cut me some slack on that one. But the tuner was a snap to figure out and I had my bass tuned in less than a half hour. JUST AMAZING.  I have cut the amount of equipment considerably that I need to do a gig anymore. It wont break the bank and it wont break your back.
Positive,Ajeer,0,Limited,"The product feels a little on the ""cheap"" side, but definitely does the job the way it should- so that's all I care about. It was cheap, and came fast. I recommend it. ALL the amps I tried and read about (both very expensive and very cheap amps) had one characteristic in common, which is missing from this one, and which I thought was universal: it doesn't allow you to connect a headphone for private practicing, I had to purchase a headphone amp separately, wasn't expecting that.This may seem a nit pick, but considering the universality of this feature, you are best advised to know it is not present in this amp.  Other than that, this is a great amp.  I could see myself making a recording in a small to medium venue with it."
Positive,Al Safa General Contracting Company ,4,High,"At the $600 price point for an all tube amp PLUS reverb and tremelo (well, there are two pedals I won't have to buy) this is insane. It is not only REALLY loud, but you can do anything from jangly pop to Pink Floyd to hard rock (high gain modern metal heads, though, might want to look at ENGL). I dialed in a Richie Blackmore tone the other day and just started blasting away.It's also a hefty beast and should stand up to sustained use.The only thing that was a drag about it was that the footswitch, which controls the reverb and tremolo, is sold separately (at about $40 street) and everybody was out. I managed to snag one, but it involved a bit of luck. They should be restocking stores in a couple of weeks. lighter and the guitar sounds ""tinny"", any heavier and I fear strings putting undue stress on the neck.  These are ""just right"".ider its association with Reaper.I tested the Microphone on a phone call using Google Voice. Everyone I spoke with said the voice quality was superior to the cheaper mike I've been using. I also tested it with Audacity in recording my voice. Again, I was very happy with the results.The packaging materials said that I should have received a CD in the package. I looked everywhere but couldn't find it; apparently I need it for something called a custom Grahic User Interface (GUI). I emailed technical support ... and I'm still waiting to hear back. Not cool.So Reaper and customer service are definite negatives, but the equipment itself is outstanding."
